city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share
london,Hale End,subdivision,3,2,1,62.2,61.8,104.35,0.1073,5191.0,0,0,0,0,1,0.0,0.3333,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0
london,Ham,subdivision,1,1,1,399.0,399.0,399.0,0.122,62515.0,1,1,1,0,0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
london,Hammersmith,subdivision,59,35,50,230.1,150.9,309.1,0.1013,759533.0,11,13,16,21,21,0.0508,0.8475,0.3559,0.5932,0.22,0.26,0.32,0.42,0.04
london,Hampstead Garden Suburb,subdivision,4,3,1,134.0,127.5,183.7,0.0443,54783.0,1,1,1,0,0,0.0,0.25,0.0,0.75,1.0,1.0,1.0,0.0,0.0
london,Hampton,subdivision,7,4,7,252.25,230.6,274.275,0.0722,66293.0,1,1,3,2,3,0.1429,1.0,0.4286,0.5714,0.1429,0.1429,0.4286,0.2857,0.0
london,Hampton Hill,subdivision,4,2,1,88.0,78.85,121.3,0.148,37044.0,0,0,0,0,0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0
london,Hampton Wick,subdivision,6,3,3,113.8,95.15,334.85,0.2297,124114.0,1,1,1,2,2,0.0,0.5,0.3333,0.5,0.3333,0.3333,0.3333,0.6667,0.0
london,Hanwell,subdivision,34,24,17,133.5,78.8,204.65,0.1756,472474.0,6,8,8,6,10,0.1176,0.5,0.2941,0.7059,0.3529,0.4706,0.4706,0.3529,0.0952
london,Hanworth,subdivision,3,2,1,172.3,116.8,227.8,0.122,30133.0,1,1,1,0,1,0.3333,0.3333,0.3333,0.6667,1.0,1.0,1.0,0.0,0.0
london,Harlesden,subdivision,48,36,27,117.45,60.95,218.875,0.1417,550920.0,6,7,9,9,16,0.0417,0.5625,0.3333,0.75,0.2222,0.2593,0.3333,0.3333,0.0
london,Harmondsworth,subdivision,5,2,4,195.7,173.275,267.025,0.0028,2826.0,0,0,0,1,4,0.0,0.8,0.8,0.4,0.0,0.0,0.0,0.25,0.0
london,Harold Hill,subdivision,2,2,1,293.95,180.975,406.925,0.011,14609.0,0,0,0,0,0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5
london,Harold Wood,subdivision,2,1,1,148.65,105.675,191.625,0.0,1878.0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
london,Harringay,subdivision,38,26,23,101.9,63.875,148.6,0.1996,331114.0,4,4,5,8,6,0.0526,0.6053,0.1579,0.6842,0.1739,0.1739,0.2174,0.3478,0.0526
london,Harrow Weald,subdivision,4,2,2,61.5,60.35,122.55,0.0,416.0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0
london,Harrow on the Hill,subdivision,1,1,0,59.3,59.3,59.3,0.0,624.0,0,0,0,0,0,0.0,0.0,0.0,1.0,,,,,0.0
london,Havelock Estate,subdivision,2,1,1,66.6,33.3,99.9,0.0,0.0,0,0,0,1,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,
london,Hayes,subdivision,17,11,3,97.1,84.15,132.7,0.0777,81175.0,1,1,1,0,4,0.1176,0.1765,0.2353,0.6471,0.3333,0.3333,0.3333,0.0,0.0
london,Hendon,subdivision,14,8,11,167.7,146.3,275.2,0.0,55483.0,0,0,1,3,3,0.0,0.7857,0.2143,0.5714,0.0,0.0,0.0909,0.2727,0.0
